"last_name, first_name","player_id","year","pa","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Gregorius, Didi","544369","2020","237",11.8,6.3,".284",".488",".339","0.827",".263",".396",".348",".311",".322",,,,,,,,,"83.8","17.8",35.3,4.2,27.9,"96.139141064","92.158376631",18.8,53.5
"Grichuk, Randal","545341","2020","231",21.2,5.6,".273",".481",".312","0.793",".268",".468",".334",".333",".312",,,,,,,,,"88.9","12.6",27.2,11.2,39.6,"100.547348929","94.472173234",23.1,51.7
"Trout, Mike","545361","2020","241",23.2,14.5,".281",".603",".390","0.993",".291",".612",".407",".428",".405",,,,,,,,,"93.7","23.1",36.1,15,55.1,"103.522413333","96.756365347",19.5,36.7
"Ruiz, Rio","547004","2020","204",22.5,8.3,".222",".427",".286","0.713",".212",".356",".303",".277",".277",,,,,,,,,"87.9","10.5",27.7,8.5,39,"99.181741429","93.707106906",27.3,52
"Harper, Bryce","547180","2020","244",17.6,20.1,".268",".542",".420","0.962",".308",".658",".400",".454",".451",,,,,,,,,"92.5","16",33.3,17.3,50.7,"104.136840278","96.785819375",28.6,45.9
"Abreu, José","547989","2020","262",22.5,6.9,".317",".617",".370","0.987",".299",".587",".411",".399",".357",,,,,,,,,"92.9","10.9",37.4,14.3,53.3,"104.315308571","96.898123022",30.1,48.5
"Suárez, Eugenio","553993","2020","231",29,13,".202",".470",".312","0.782",".216",".472",".332",".342",".325",,,,,,,,,"89.1","17.9",29.5,14.4,44.7,"101.191154545","94.886730076",31.7,41.7
"González, Erik","570481","2020","193",26.4,4.1,".227",".359",".255","0.614",".237",".396",".262",".293",".276",,,,,,,,,"88.5","5.5",33.6,6.7,44,"100.617211515","94.399348561",32,53.4
"Arenado, Nolan","571448","2020","201",10,7.5,".253",".434",".303","0.737",".235",".392",".308",".288",".289",,,,,,,,,"87.8","19.1",27.1,5.4,33.7,"98.207786506","93.152140723",17.9,48.1
"Muncy, Max","571970","2020","248",24.2,15.7,".192",".389",".331","0.720",".229",".473",".316",".360",".362",,,,,,,,,"88.5","14.2",29,12.4,40,"99.706862329","94.042931517",26.8,36.6
"Myers, Wil","571976","2020","218",25.7,8.3,".288",".606",".353","0.959",".285",".589",".400",".396",".351",,,,,,,,,"91","13.4",40.8,14.8,45.8,"101.631815571","95.352673957",25.9,42.6
"Pollock, AJ","572041","2020","210",21.4,5.7,".276",".566",".314","0.880",".269",".499",".364",".345",".312",,,,,,,,,"89.6","13",37.9,10.5,43.1,"100.207984474","94.434710861",24.4,47.7
"Seager, Kyle","572122","2020","248",13.3,12.9,".241",".433",".355","0.788",".252",".472",".338",".365",".371",,,,,,,,,"89.1","17.7",30.7,10.2,39.8,"98.417159318","93.543557614",20.4,40.3
"Voit III, Luke","572228","2020","234",23.1,7.3,".277",".610",".338","0.948",".279",".586",".393",".389",".340",,,,,,,,,"88.9","15.2",37.5,13.1,40,"100.684343544","94.623051203",27.6,52.1
"Walker, Christian","572233","2020","243",20.6,7.8,".271",".459",".333","0.792",".266",".454",".339",".339",".331",,,,,,,,,"90.4","11.5",34.5,6.4,48.5,"101.908890353","95.476667059",27.1,51.8
"Dickerson, Corey","572816","2020","210",16.7,7.1,".258",".402",".311","0.713",".248",".396",".308",".305",".303",,,,,,,,,"85.7","11.1",25.8,5.7,30.8,"97.061493671","92.538034367",25.7,53.4
"Yastrzemski, Mike","573262","2020","225",24.4,13.3,".297",".568",".400","0.968",".251",".488",".407",".364",".360",,,,,,,,,"88.2","18.4",35,10.9,42.3,"99.26844913","93.715521022",24.7,39.1
"Contreras, Willson","575929","2020","225",25.3,8.9,".243",".407",".356","0.763",".249",".441",".336",".353",".361",,,,,,,,,"89.8","9.1",35.8,10.4,47.8,"102.281617612","95.465128571",33.6,47.9
"Canha, Mark","592192","2020","243",22.2,15.2,".246",".408",".387","0.795",".241",".415",".351",".359",".387",,,,,,,,,"89.7","19.4",37.3,7.7,39.4,"98.907806143","93.708491143",24,38
"Castellanos, Nick","592206","2020","242",28.5,7.9,".225",".486",".298","0.784",".274",".545",".329",".375",".343",,,,,,,,,"91","16.5",39.3,16,46.7,"100.5504196","94.703394832",34.2,51.8
"Machado, Manny","592518","2020","254",14.6,10.2,".304",".580",".370","0.950",".300",".540",".391",".385",".372",,,,,,,,,"90.2","15.6",34.6,11,43.5,"102.695949158","95.565070368",21.7,46.7
"Moran, Colin","592567","2020","200",26,9.5,".247",".472",".325","0.797",".254",".479",".340",".350",".332",,,,,,,,,"91.9","8.3",32.3,13.4,47.2,"102.613770159","95.95598352",28,49.9
"Realmuto, J.T.","592663","2020","195",24.6,8.2,".266",".491",".349","0.840",".246",".498",".361",".356",".331",,,,,,,,,"90.2","11.6",32.8,13.6,42.4,"101.277934921","95.12123304",29.8,45.3
"Rosario, Eddie","592696","2020","231",14.7,8.2,".257",".476",".316","0.792",".246",".437",".333",".318",".307",,,,,,,,,"87.5","18.1",30.3,6.2,35.4,"97.149699091","92.643316171",22.6,51.9
"Yelich, Christian","592885","2020","247",30.8,18.6,".205",".430",".356","0.786",".250",".473",".343",".378",".394",,,,,,,,,"94","7.1",32.3,12.1,55.6,"103.843596557","97.02065123",33.6,34.6
"Merrifield, Whit","593160","2020","265",12.5,4.5,".282",".440",".325","0.765",".292",".439",".329",".336",".334",,,,,,,,,"86.1","15.8",39.8,5.1,27.3,"95.855324206","91.961579112",16.1,49.3
"Bogaerts, Xander","593428","2020","225",18.2,9.3,".300",".502",".364","0.866",".258",".471",".368",".340",".327",,,,,,,,,"89","8.7",31.3,8.6,36.8,"99.721139136","94.010233642",23,43.6
"Alberto, Hanser","593643","2020","231",13,2.2,".283",".393",".306","0.699",".247",".319",".301",".261",".272",,,,,,,,,"82.3","13.2",32.6,1,20.7,"93.472612717","90.856123497",16.7,62.9
"Polanco, Jorge","593871","2020","226",15.5,5.8,".258",".354",".304","0.658",".263",".381",".289",".304",".308",,,,,,,,,"86.6","16.1",39,2.8,33.3,"96.651106591","92.358275714",16.8,43.7
"Sanó, Miguel","593934","2020","205",43.9,8.8,".204",".478",".278","0.756",".215",".483",".317",".326",".288",,,,,,,,,"95.2","20.2",31.3,22.9,57.3,"107.128241875","98.788112737",42.6,47.3
